"id","word","cefr","parts_of_speech","current_arabic_meaning","manual_review_reason"
"1030","favourite","A1","adjective + noun","مفضّل؛ المفضّل","Multi-sense or multi-POS separation requires human dictionary review."
"1048","fight","A2","verb + noun","يقاتل؛ قتال","Multi-sense or multi-POS separation requires human dictionary review."
"1060","finance","B2","noun + verb","تمويل؛ يموّل","Multi-sense or multi-POS separation requires human dictionary review."
"1071","first","A1","determiner + number + adverb","الأول؛ أولًا","Multi-sense or multi-POS separation requires human dictionary review."
"1077","fit","A2","verb + adjective","يناسب؛ لائق","Multi-sense or multi-POS separation requires human dictionary review."
"1085","flash","B2","noun + verb","وميض؛ يومض","Multi-sense or multi-POS separation requires human dictionary review."
"1091","flood","B1","noun + verb","فيضان؛ يغمر","Multi-sense or multi-POS separation requires human dictionary review."
"1094","flow","B1","verb + noun","يتدفق؛ تدفّق","Multi-sense or multi-POS separation requires human dictionary review."
"1099","flying","A2","noun + adjective","طيران؛ طائر","Multi-sense or multi-POS separation requires human dictionary review."
"1100","focus","A2","verb + noun","يركّز؛ تركيز","Multi-sense or multi-POS separation requires human dictionary review."
"1104","folk","B1","noun + adjective","قوم؛ شعبي","Multi-sense or multi-POS separation requires human dictionary review."
"1112","force","B1","noun + verb","قوة؛ يجبر","Multi-sense or multi-POS separation requires human dictionary review."
"1119","form","A1","noun + verb","شكل؛ نموذج؛ يشكّل","Multi-sense or multi-POS separation requires human dictionary review."
"1124","frame","B1","noun + verb","إطار؛ يؤطّر","Multi-sense or multi-POS separation requires human dictionary review."
"1142","front","A1","noun + adjective","مقدّمة؛ أمامي","Multi-sense or multi-POS separation requires human dictionary review."
"1154","fund","B2","noun + verb","صندوق؛ يموّل","Multi-sense or multi-POS separation requires human dictionary review."
"1165","gain","B2","verb + noun","يكسب؛ مكسب","Multi-sense or multi-POS separation requires human dictionary review."
"1186","giant","B1","adjective + noun","عملاق؛ ضخم","Multi-sense or multi-POS separation requires human dictionary review."
"1192","gold","A2","noun + adjective","ذهب؛ ذهبي","Multi-sense or multi-POS separation requires human dictionary review."
"1196","goodbye","A1","exclamation + noun","وداعًا؛ مع السلامة","Multi-sense or multi-POS separation requires human dictionary review."
"1204","graduate","B1","noun + verb","خريج؛ يتخرّج","Multi-sense or multi-POS separation requires human dictionary review."
"1210","grant","B2","verb + noun","يمنح؛ منحة","Multi-sense or multi-POS separation requires human dictionary review."
"1214","green","A1","adjective + noun","أخضر؛ اللون الأخضر","Multi-sense or multi-POS separation requires human dictionary review."
"1216","grey","A1","adjective + noun","رمادي؛ اللون الرمادي","Multi-sense or multi-POS separation requires human dictionary review."
"1221","guarantee","B2","verb + noun","يضمن؛ ضمان","Multi-sense or multi-POS separation requires human dictionary review."
"1222","guard","B1","noun + verb","حارس؛ يحرس","Multi-sense or multi-POS separation requires human dictionary review."
"1223","guess","A1","verb + noun","يخمّن؛ تخمين","Multi-sense or multi-POS separation requires human dictionary review."
"1225","guide","A2","noun + verb","دليل؛ مرشد؛ يرشد","Multi-sense or multi-POS separation requires human dictionary review."
"1233","half","A1","noun + determiner + pronoun","نصف","Multi-sense or multi-POS separation requires human dictionary review."
"1238","handle","B2","verb + noun","يتعامل؛ مقبض","Multi-sense or multi-POS separation requires human dictionary review."
"1244","hard","A1","adjective + adverb","صعب؛ قاسٍ","Multi-sense or multi-POS separation requires human dictionary review."
"1246","harm","B2","noun + verb","ضرر؛ يضرّ","Multi-sense or multi-POS separation requires human dictionary review."
"1267","hello","A1","exclamation + noun","مرحبًا","Multi-sense or multi-POS separation requires human dictionary review."
"1268","help","A1","verb + noun","يساعد؛ مساعدة","Multi-sense or multi-POS separation requires human dictionary review."
"1270","her","A1","pronoun + determiner","إياها؛ لها؛ خاصتها","Multi-sense or multi-POS separation requires human dictionary review."
"1281","highlight","B1","verb + noun","يبرز؛ نقطة بارزة","Multi-sense or multi-POS separation requires human dictionary review."
"1293","hit","A2","verb + noun","يضرب؛ ضربة","Multi-sense or multi-POS separation requires human dictionary review."
"1302","home","A1","noun + adverb","بيت / منزل","Multi-sense or multi-POS separation requires human dictionary review."
"1306","honour","B2","noun + verb","شرف؛ يكرّم","Multi-sense or multi-POS separation requires human dictionary review."
"1325","human","A2","adjective + noun","بشري؛ إنسان","Multi-sense or multi-POS separation requires human dictionary review."
"1353","impact","B1","noun + verb","أثر؛ يؤثر","Multi-sense or multi-POS separation requires human dictionary review."
"1356","import","B1","noun + verb","استيراد؛ يستورد","Multi-sense or multi-POS separation requires human dictionary review."
"1367","in","A1","preposition + adverb","في","Multi-sense or multi-POS separation requires human dictionary review."
"1374","increase","A2","verb + noun","يزيد؛ زيادة","Multi-sense or multi-POS separation requires human dictionary review."
"1382","individual","A2","noun + adjective","فرد؛ فردي","Multi-sense or multi-POS separation requires human dictionary review."
"1388","influence","B1","noun + verb","تأثير؛ يؤثر","Multi-sense or multi-POS separation requires human dictionary review."
"1415","interest","A1","noun + verb","اهتمام؛ فائدة؛ يهمّ","Multi-sense or multi-POS separation requires human dictionary review."
"1423","interview","A1","noun + verb","مقابلة؛ يجري مقابلة","Multi-sense or multi-POS separation requires human dictionary review."
"1437","iron","B1","noun + verb","حديد؛ مكواة؛ يكوي","Multi-sense or multi-POS separation requires human dictionary review."
"1454","joke","A2","noun + verb","نكتة؛ يمزح","Multi-sense or multi-POS separation requires human dictionary review."
"1459","judge","B1","noun + verb","قاضٍ؛ يحكم","Multi-sense or multi-POS separation requires human dictionary review."
"1463","jump","A2","verb + noun","يقفز؛ قفزة","Multi-sense or multi-POS separation requires human dictionary review."
"1465","key","A1","noun + adjective","مفتاح؛ رئيسي","Multi-sense or multi-POS separation requires human dictionary review."
"1468","kick","B1","verb + noun","يركل؛ ركلة","Multi-sense or multi-POS separation requires human dictionary review."
"1476","kiss","B1","verb + noun","يقبّل؛ قبلة","Multi-sense or multi-POS separation requires human dictionary review."
"1485","label","B1","noun + verb","ملصق؛ يصنّف","Multi-sense or multi-POS separation requires human dictionary review."
"1488","lack","B1","noun + verb","نقص؛ يفتقر","Multi-sense or multi-POS separation requires human dictionary review."
"1500","last","A2","adverb + noun","أخيرًا؛ الأخير","Multi-sense or multi-POS separation requires human dictionary review."
"1502","late","A1","adjective + adverb","متأخرًا","Multi-sense or multi-POS separation requires human dictionary review."
"1507","laugh","A1","verb + noun","يضحك؛ ضحك","Multi-sense or multi-POS separation requires human dictionary review."
"1509","launch","B2","verb + noun","يطلق؛ إطلاق","Multi-sense or multi-POS separation requires human dictionary review."
"1525","least","A2","determiner + pronoun + adverb","أقلّ","Multi-sense or multi-POS separation requires human dictionary review."
"1529","lecture","A2","noun + verb","محاضرة؛ يحاضر","Multi-sense or multi-POS separation requires human dictionary review."
"1530","left","A1","adjective + adverb + noun","أيسر؛ يساري؛ متبقٍ","Multi-sense or multi-POS separation requires human dictionary review."
"1539","lie","B1","verb + noun","يكذب؛ كذبة","Multi-sense or multi-POS separation requires human dictionary review."
"1542","lift","A2","verb + noun","يرفع؛ مصعد","Multi-sense or multi-POS separation requires human dictionary review."
"1543","light","A1","noun + adjective","ضوء؛ مضيء","Multi-sense or multi-POS separation requires human dictionary review."
"1550","limit","B1","noun + verb","حدّ؛ يحدّ","Multi-sense or multi-POS separation requires human dictionary review."
"1554","link","A2","noun + verb","رابط؛ يربط","Multi-sense or multi-POS separation requires human dictionary review."
"1557","liquid","B1","noun + adjective","سائل؛ سائلٌ","Multi-sense or multi-POS separation requires human dictionary review."
"1558","list","A1","noun + verb","قائمة؛ يسرد","Multi-sense or multi-POS separation requires human dictionary review."
"1562","little","A1","adjective + determiner + pronoun","صغير؛ قليل","Multi-sense or multi-POS separation requires human dictionary review."
"1565","live","B1","adjective + adverb","حيّ؛ مباشر","Multi-sense or multi-POS separation requires human dictionary review."
"1567","living","B1","adjective + noun","حيّ؛ معيشة","Multi-sense or multi-POS separation requires human dictionary review."
"1568","load","B2","noun + verb","حمولة؛ يحمّل","Multi-sense or multi-POS separation requires human dictionary review."
"1575","lock","A2","verb + noun","يقفل؛ قفل","Multi-sense or multi-POS separation requires human dictionary review."
"1578","long","A1","adjective + adverb","طويل","Multi-sense or multi-POS separation requires human dictionary review."
"1579","long-term","B2","adjective + adverb","طويل الأمد / على المدى الطويل","Multi-sense or multi-POS separation requires human dictionary review."
"1588","lot","A1","pronoun + determiner + adverb","الكثير","Multi-sense or multi-POS separation requires human dictionary review."
"1589","loud","A2","adjective + adverb","عالٍ؛ بصوت عالٍ","Multi-sense or multi-POS separation requires human dictionary review."
"1591","love","A1","noun + verb","حب؛ يحب","Multi-sense or multi-POS separation requires human dictionary review."
"1593","low","A2","adjective + adverb","منخفض","Multi-sense or multi-POS separation requires human dictionary review."
"1604","magic","B1","noun + adjective","سحر؛ سحري","Multi-sense or multi-POS separation requires human dictionary review."
"1607","male","A2","adjective + noun","ذكَر؛ ذكوري","Multi-sense or multi-POS separation requires human dictionary review."
"1614","many","A1","determiner + pronoun","الكثير","Multi-sense or multi-POS separation requires human dictionary review."
"1618","mark","A2","verb + noun","علامة؛ يضع علامة؛ يصحّح","Multi-sense or multi-POS separation requires human dictionary review."
"1625","mass","B2","noun + adjective","كتلة؛ جماهيري","Multi-sense or multi-POS separation requires human dictionary review."
"1627","master","B2","noun + verb","سيّد؛ يتقن","Multi-sense or multi-POS separation requires human dictionary review."
"1628","match","A1","noun + verb","مباراة؛ يطابق","Multi-sense or multi-POS separation requires human dictionary review."
"1634","matter","A2","noun + verb","أمر؛ يهمّ","Multi-sense or multi-POS separation requires human dictionary review."
"1635","maximum","B2","adjective + noun","أقصى؛ الحد الأقصى","Multi-sense or multi-POS separation requires human dictionary review."
"1645","measure","B1","verb + noun","يقيس؛ مقياس","Multi-sense or multi-POS separation requires human dictionary review."
"1662","mess","B1","noun + verb","فوضى؛ يبعثر","Multi-sense or multi-POS separation requires human dictionary review."
"1667","middle","A2","noun + adjective","منتصف؛ أوسط","Multi-sense or multi-POS separation requires human dictionary review."
"1672","military","B2","adjective + noun","عسكري؛ الجيش","Multi-sense or multi-POS separation requires human dictionary review."
"1684","mix","B1","verb + noun","يخلط؛ مزيج","Multi-sense or multi-POS separation requires human dictionary review."
"1687","mobile","A2","adjective + noun","محمول؛ هاتف محمول","Multi-sense or multi-POS separation requires human dictionary review."
"1695","monitor","B2","noun + verb","شاشة؛ يراقب","Multi-sense or multi-POS separation requires human dictionary review."
"1700","moral","B2","adjective + noun","أخلاقي؛ عِبرة","Multi-sense or multi-POS separation requires human dictionary review."
"1701","more","A1","determiner + pronoun + adverb","أكثر","Multi-sense or multi-POS separation requires human dictionary review."
"1703","most","A1","determiner + pronoun + adverb","أكثر","Multi-sense or multi-POS separation requires human dictionary review."
"1706","motor","B2","noun + adjective","محرّك؛ آلي","Multi-sense or multi-POS separation requires human dictionary review."
"1716","much","A1","determiner + pronoun + adverb","كثير","Multi-sense or multi-POS separation requires human dictionary review."
"1721","murder","B1","noun + verb","قتل؛ يقتل","Multi-sense or multi-POS separation requires human dictionary review."
"1734","name","A1","noun + verb","اسم؛ يسمّي","Multi-sense or multi-POS separation requires human dictionary review."
"1735","narrative","B1","noun + adjective","سرد؛ سردي","Multi-sense or multi-POS separation requires human dictionary review."
"1741","native","B1","adjective + noun","أصلي؛ ابن البلد","Multi-sense or multi-POS separation requires human dictionary review."
"1752","neither","A2","determiner + pronoun","لا هذا ولا ذاك","Multi-sense or multi-POS separation requires human dictionary review."
"1763","next","A1","adjective + adverb","التالي؛ بعد ذلك","Multi-sense or multi-POS separation requires human dictionary review."
"1772","no","A1","exclamation + determiner","لا؛ لا يوجد","Multi-sense or multi-POS separation requires human dictionary review."
"1778","nor","B1","conjunction + adverb","ولا","Multi-sense or multi-POS separation requires human dictionary review."
"1782","north","A1","noun + adjective + adverb","الشمال؛ شمالي","Multi-sense or multi-POS separation requires human dictionary review."
"1789","notice","A2","verb + noun","يلاحظ؛ إشعار","Multi-sense or multi-POS separation requires human dictionary review."
"1805","objective","B2","noun + adjective","هدف؛ موضوعي","Multi-sense or multi-POS separation requires human dictionary review."
"1818","offer","A2","verb + noun","يعرض؛ عرض","Multi-sense or multi-POS separation requires human dictionary review."
"1826","OK","A1","exclamation + adjective + adverb","حسنًا؛ مقبول","Multi-sense or multi-POS separation requires human dictionary review."
"1829","on","A1","preposition + adverb","على","Multi-sense or multi-POS separation requires human dictionary review."
"1832","one","A1","number + determiner + pronoun","واحد؛ أحد","Multi-sense or multi-POS separation requires human dictionary review."
"1834","online","A1","adjective + adverb","عبر الإنترنت","Multi-sense or multi-POS separation requires human dictionary review."
"1835","only","A1","adjective + adverb","وحيد؛ فقط","Multi-sense or multi-POS separation requires human dictionary review."
"1837","open","A1","adjective + verb","مفتوح؛ يفتح","Multi-sense or multi-POS separation requires human dictionary review."
"1846","opposite","A1","adjective + adverb + preposition + noun","معاكس؛ المقابل","Multi-sense or multi-POS separation requires human dictionary review."
"1850","orange","A1","noun + adjective","برتقال؛ برتقالي","Multi-sense or multi-POS separation requires human dictionary review."
"1851","order","A1","noun + verb","طلب؛ أمر؛ ترتيب؛ يأمر","Multi-sense or multi-POS separation requires human dictionary review."
"1862","other","A1","adjective + pronoun","آخر؛ الآخر","Multi-sense or multi-POS separation requires human dictionary review."
